,,,,,,,,,,,,
,,,,,,,,,,,,
lfd. Nr.,"Kasten, Stk",Authentitz,Format,Absender,Empfänger,Datum,Abs.- Ort,GS und Herzfeld,GB,Bemerkungen,,
,623,"[F059,05",O,B,"Rosenzweig,  Franz","Ehrenberg, Rudolf",1922-07-15,Frankfurt,"I,2 Nr. 788",,"Koch bremst Rudis Therapievorschlag, da noch nicht erprobt, obwohl Franz dafür",
,624,"[F060,01",O,B,"Rosenzweig,  Franz","Ehrenberg,  Rudolf",1922-08-03,Frankfurt,,,Dat PostStp; Koch hält Rudis Therapie für Nonsens.,
,625,"[F060,02",O,B,"Rosenzweig,  Franz","Ehrenberg, Rudolf",1922-08-00,Frankfurt,,,Dat aus Brf - zur positiven Wirkung des Rudi-Mittels; zu Rudis Theor. Biologie,
,626,"[F060,03",O,B,"Rosenzweig,  Franz","Ehrenberg, Rudolf",1917-01-27,Feldpost; Dat. in Brief,"I,1 Nr. 347 ...",,"PostStp aus Nachsendgen an Rudi; zu einem Buch v.  Ricarda Huch -""Luther""?",
,627,"[F060,04",O,B,"Rosenzweig,  Franz","Ehrenberg,  Rudolf",1917-02-23,Feldpost,"I,1 360 ...",,"Dat BrfBeginn; Ende:26.II.17;PostStp:27.02.17; zur Huch und ""Oekumene"", s. GSIII",
,628,"[F060,05",O,B,"Rosenzweig,  Franz","Ehrenberg,  Rudolf",1918-06-28,Feld (geschl a. Inhalt),,,"Jahr geschl. aus Zustd Mutter: Vater 1918 gest; s. auch ""Brfe"" 1935, Fn 1 S. 336",
,629,"[F060,06",O,B,"Rosenzweig, Franz","Ehrenberg, Rudolf",1917-07-09,Feldpost,"I,1 Nr. 413 ...",,zu Hans E.;Begegnungen im  Heimaturlaub; Gott schauen? Hören!,
,630,"[F060,07",O,B,"Rosenzweig, Franz","Ehrenberg, Rudolf",1917-12-01,,"I,1 Nr. 460 ...",,"Dat: Jahr 1917 hdf; zum Begriff ""System"" u. ""und""; zum Hegel",
631,"[G001,01",O,Dk,Stadt Kassel,"Rosenzweig, Adam",1847-03-12,Kassel,,,Ort: Cassel. 'Heimatschein'=Best'tg AufenthaltsR. wg. Reise nach BS u. weiter.,,
,"[G001,02",O,Dk,Stadt Kassel,"Rosenzweig, Adam",1853-10-05,Kassel,,,Ort: Cassel. Geburtsbescheinigg der Isr. Gemeinde für Adam Abraham Rosenzw.,,
633,"[G001,03",O,B,"Rosenzweig,  Franz","Ehrenberg,  Rudolf",1921-00-00,,,,"Dat hdf und Brief: ""Im letzten Jahr Jude geworden.."". zur ehel. Bindung",,
634,"[G001,04",O,B,"Rosenzweig,  Franz","Ehrenberg, Rudolf",1918-04-14,Feldpost,"I,1 Nr. 507 ...",,"z. Tod v. H. Cohen; Verhältn zu Vater Georg; zu Fichte, Hegel, Schelling; s.[E36",,
635,"[G001,05",O,B,"Rosenzweig,  Franz","Ehrenberg, Rudolf",1919-07-12,Stuttgart,,,Dat PostStp;Brf auf TelForm;Hans E. hat zu einem theol. Werk von Eugen geschrb.,,
636,"[G001,06",O,B,"Rosenzweig,  Franz","Ehrenberg,  Rudolf",1918-09-04,Feldpost,"I,2, Nr. 566 ...",,Gliederung Stern - Buch angefangen; Bezugn auf GB S. 137: erste Inhaltsangabe,,
637,"[G002,01",O+Abs.ms,B,"Rosenzweig, Franz","Ehrenberg, Rudolf",1911-07-12,Heidelberg,,,"Ort: hdf auf Abs.ms; zu einem Theaterstück, das Rudi schreibt.",,
638,"[G002,02",O+Abs.ms,B,"Rosenzweig, Franz","Ehrenberg, Rudolf",1911-07-19,Heidelberg,,,Dat: Jahr hdf; zu Rudis Theaterstück; Religion und Volk; Kasseler Familie,,
639,"[G002,03",O+Abs.ms,B,"Rosenzweig, Franz","Ehrenberg, Rudolf",1911-07-21,Heidelberg,,,"zu Rudis Theaterstück; Religionsstifter, Kultusleiter, Volk u Religion",,
640,"[G002,04",O+Abs.ms,B,"Rosenzweig, Franz","Ehrenberg, Rudolf",1911-07-22,,,,"Jahr hdf auf Abs.ms; zu Rudis Theaterstück, Darstellung der Volksszenen",,
641,"[G002,05",O+Abs.ms,B,"Rosenzweig, Franz","Ehrenberg, Rudolf",1911-07-26,,,,"Jahr hdf auf Abs.ms; zu Rudis Theaterstück, Szene der Erzengel",,
642,"[G003,01",O+Abs.ms,B,"Rosenzweig, Franz","Ehrenberg, Rudolf",1911-08-01,o. O.,,,"Dat hdf, aus Korr. angenähert ([G2,3);",,
643,"[G003,02",O+Abs.ms,B,"Rosenzweig, Franz","Ehrenberg, Rudolf",1911-11-12,Berlin,,,Dat PostStp; Umschlag gesiegelt; noch zu Rudis Drama; Kritikerecho.,,
644,"[G003,03",O+Abs.ms,B,"Rosenzweig, Franz","Ehrenberg, Rudolf",1911-12-01,Berlin,,,Dat PostStp;zu Rudis Thaterstück; wie es beim Theater angen. werden könnte.,,
645,"[G003,04",O+Abs.ms,B,"Rosenzweig, Franz","Ehrenberg, Rudolf",1912-11-22,Darmstadt,,,"Ort PostStp; s. GS I,1 zu Nr. 192; zu Rudis Plan f neues Stück",,
646,"[G003,05",O+Abs.ms,B,"Rosenzweig,  Franz","Ehrenberg, Rudolf",1913-00-00,o.O,,,Dat? Jahr hdf auf Abs.ms;ü.Szenen; ü. mögl. Dramenstoffe; Anregg bei Herodot,,
647,"[G003,06",K,W,"Rosenzweig, Franz",xxx,o.J.,o.O.,,,"Handschrift FR; ""Zur attischen und shakespearschen Tragödie"" 75 Seiten.",,
648,"[G004,01",O+Abs.ms,B,"Rosenzweig, Franz","Ehrenberg, Rudolf",1913-02-25,"Leipzig, Rathausring 13",,,"Ort PostStp, Absd+Brf; zu einem Herrn Baum (Max  Born ?), den Rudis Schw. liebt.",,
649,"[G004,02",O+Abs.ms,B,"Rosenzweig, Franz","Ehrenberg, Rudolf",1913-02-25,Leipzig,,,"Dat hdf; geschl. aus Text; Bezug [G4,1. Inhalt s. dort.",,
650,"[G004,03",O+Abs.ms,B,"Rosenzweig, Franz","Ehrenberg, Rudolf",1913-02-27,Leipzig,,,"zu Herrn Baum; Max Born? s. Biogr. ""Max Born"", SpectrumVlg 2006; S. 60/61",,
651,"[G004,04",O+Abs.ms,BK+B,"Rosenzweig, Franz","Ehrenberg, Rudolf",1913-03-24,Berlin,,,Absd: ohne U.;hd FR; zur Verlobung von Hans Ehrenberg; zur Bdeutung d. Ehe.,,
652,"[G004,05",O+Abs.ms,B,"Rosenzweig, Franz","Ehrenberg, Rudolf",1913-04-12,Berlin,,,"Dat./Ort PostStp;3 Brfe,div.Absd betr. Ablehng 2er Stcke v. Rudi im Lpzger Stadtth",,
653,"[G005,01",O ms,B,"Rosenzweig, Franz","Ehrenberg, Rudolf",1912-05-05,Berlin,,,Empf Couv; Ort PostStp; zu Freund Philipp; zu einer Wanderung; zum schrb. m. ms!,,
654,"[G005,02",O+Abs.ms,BK,"Rosenzweig, Franz","Ehrenberg, Rudolf",1913-04-22,Berlin,,,Dat/Ort PostStp; Plan f. Weg an der Werra vor Pfingsgten; zu Hans,,
655,"[G005,03",O+Abs.ms,B,"Rosenzweig, Franz","Ehrenberg, Rudolf",1913-05-12,Kassel,,,"Dat PostStp; keine Anrede, keine U; Szenenbeschreibung zu einem Theaterstück",,
656,[G006,O+K,L,"Seldt, Konrad","Rosenzweig, Franz",1902-00-00,Kassel,,,"Fotografie; Aufkleber: ms:""Rosenzweig at 15 years old'; CopyR: Konrad  Seldt",,
657,[G007,leer,,,,,,,,,,
658,[G008,Abs hd FR,W,"Rosenzweig, Franz","Ehrenberg, Rudolf",1919-10-12,Heidelberg,,,"Ort/Dat PostStp; Eilbote n. Gö; ""Die Schutzengel""; s. [F54,2+3 u [R22; vllstdge Abs.",,
659,[G009,Abs.ms P,S,Rosenzweig Franz,,,,,,"Tagebuch 14. 12. 1905 bis 21.09. 1910; vergleiche GS I; Abs.ms Paus, korr.hd FR",,
660,"[G010,01",Abs.ms,S,"Hahn, Rosalie, geb.Levi",Salomon Wolf Levy,1860-00-00,Stolp,,,"Rosalie, Großm. v. Edith., an ihren Vater; kommt m. Ehem. u.Kd, E.s Vater, n.Stolp",,
661,"[G010,02",Abs.ms P,B,"Rosenzweig, Georg","Rosenzweig,  Franz",1914-11-14,,,,"""Rechtzeitig vor dem Abmarsch""; Original in [A01,3",,
662,"[G010,03",O,B,Jüd Gemeinde Berlin,"Hahn,  Edith",1917-05-02,Berlin,,,Jd. Gemeinde hat Edith als Vertretungslehrerin vorgeschlagen u. bittet um Kontakt,,
663,"[G010,04",Abs.ms P,S,"Ehrenberg, Rudolf","Rosenzweig, Edith",1929-12-00,,,,Gedicht von Rudolf E. für Edith R. zum Tod von FR (siehe Ehrenberg NL GÖ),,
664,"[G010,05",Abs.ms,W,"Rosenzweig, Franz",xxx,1907-01-05,,,,"Aut:""aus einem Notizbuch FRs"";Geschichte Fam.Rosenzweig;""alles mdl.v.O.Adam""",,
"665,01","[G010,06",O,S,"Oppenheim, Gertrud",xxx,1967-00-00,Johannesburg,,,Autorin: Schrift wie [A27; Lebensdaten GO. und Schw. Helene bis 8. 7. 1967,,
"665,02","[G010,07",hd? P,S,,,,,,,Genealogie FR aufwärts;wessen Schrift? Sign. ergänzt,,
666,[G011,K,S,"Rosenzweig, Franz",,1922-10-00,Frankfurt,,,"Lehrhaus Programm 4. Jahr, erster Lehrgang; Dat nach ""FR.. in KS"", S. 81,82",,
667,"[G012,01",Abs hdf,W,"Rosenzweig, Adam",,1855-00-00,,,,"O. Adam,Ged.e aus Wanderzeit 50erJhre 1800.; Abs.Adele u FR.nach Tod 1908?",,
668,"[G012,02",hdf,W,"Rosenzweig, Adam",,1856-00-00,,,,"O. Adam, Gedichte aus  Wanderzeit 50erJhre 1800.;Heft; Schrift?div.vgl. [G12,1",,
669,"[G012,03",O,B,"Rosenzweig,  Louis u.Fm","Gotthelft, Henriette,gb.Levi",1869-00-00,,,,"Empf:Verm hdf; Louis u. Fam. Rosenzwg gratulieren ""der Großmutter"" zum Geb.",,
670,"[G012,04",K,B,N. N.,"Ehrenberg, Victor, jun",1912-12-12,Kassel,,,"Absd: Schrift = [G12,2 S.1;zum Abschied von Victor E.  jun. aus d. Elternhs. Fragm",,
671,"[G012,05",Abs.ms.,W,"Rosenzweig, Adam","Rosenzweig, Adam",1876-05-00,,,,"Zitat Selbstzeugnis O.A. aus K. Budde Hrsg; ""J.F.Hoff u.a. "" Frbg.1932; S. 434",,
672,"[G013,01",Abs/Ü hdf,B,"Alsberg, Henriette geb.L.","Rosenzweig, Ad.u.Gg",1886-12-00,Kassel,,,"Überssetzg hdf von [G13,2 zur Geb. v. Franz - 'Bitte an Urgroßmutter schreiben""",,
673,"[G013,02",O,B,"Alsberg, Henriette geb.L.","Rosenzweig, Ad. U. Gg",1886-12-00,Kassel,,,"hdf: ""Großmutter v. Adele R.""; Vorlage von [G13,1; Text deutsch, Buchstb.hebr.",,
674,"[G013,03",K,B,"Ehrenberg, Julie","Ehrenberg,  Kurt u.a.",1912-06-11,Kassel - Wilhelmshöhe,,,dankt den Enkeln f Brf z. 85. Geb.;Otto Ehrenberg verfügt Rundsendung an alle.,,
675,"[G013,04",O,B,"Weyl, Emil, RechtsAnw.",,,Düsseldorf,,,"Fragment? Anfang mitten i Satz. o.Anrede, o. Dat.; Familiendaten; Rücks:Adressen",,
676,"[G013,05",O,S,"Rosenzweig, Franz",,,,,,"winziges Blatt; hd FR; Lebensdaten Fam Rosenzweig ""von Güdel notiert""",,
677,"[G013,06",O,S,Georg-Aug.-Universität,"Ehrenberg, Rudolf betr",1969-07-00,Göttingen,,,Nachruf auf Prof. Dr. Rudolf  Ehrenberg; Würdigung des Lebenswerks,,
678,"[G014,01",O+Abs.ms,B,"Rosenzweig,  Adele","Rosenzweig,  Franz",1917-02-12,,Herzfeld  S. 416,,Siehe [A08; zum 'Putzianum' und Julie von Kestner; Familienchronik,,
679,"[G014,02",O,B,"Rosenzweig,  Adele","Rosenzweig,  Franz",1917-04-13,Kassel,Herzfeld S. 487,,"Abschr an FR von [C90,10, H. Cohen, 12. 4. 1917, aus Bd-Bd.an Adele;Kommentar",,
680,"[G014,03",O+Abs.ms,B,"Rosenzweig, Adele","Rosenzweig,  Franz",1917-09-26,Kassel,,,"zu Hermann Cohen, der in Kassel zu Besuch gewesen war.",,
681,"[G014,04",K,B,"Mayer, Eugen","Mayer,  Hebe",1928-01-22,"Frankfurt, Meinestr. 12",,,Fragm. Absd Verm hdf; vom bewegenden Besuch der Rovina H. bei FR; s. [E43,,
,"[G015,01",O+Abs.ms,B,"Rosenzweig, Adele u.a.","Rosenzweig,  Franz",1913-12-23,Oberstdorf i. Allg.,,,"Geburtstagsbrief an FR aus Oberstorf; Absd: Adele, Tante Henny, Edith",,
684,"[G015,02",O+Abs.ms,B,"Rosenzweig, Adele","Rosenzweig,  Franz",1914-04-02,"Kassel, Terrasse 1",,,"über Hermann Badt, Freund von FR",,
685,"[G015,03",O+Abs.ms,B,"Rosenzweig, Adele","Rosenzweig,  Franz",1916-12-18,,Herzfeld  S. 354,,zum Geburtstag ins Feld; ihre tiefe Verbundenheit; Familiäres u. Organisatorisches,,
686,"[G015,04",O,B,"Rosenzweig, Adele","Rosenzweig,  Franz",1917-09-06,"Kassel, Terrasse 1",,,Abschr einer Karte von G. Lasson; z. Systemprgr. u. z. Verbreitung d. Putzianum,,
687,"[G015,05",O,B,"Rosenzweig, Adele","Rosenzweig,  Franz",1918-04-11,,,,wie es nach Vater Georgs Tod geht; wer kondoliert; Abschr e Brfes von Rudi;,,
688,"[G015,06",O+Abs.ms,B,"Rosenzweig, Adele","Rosenzweig, Franz",1917-02-00,"Kassel, Terrasse 1",Herzfeld S. 436,,"Fragment; U.: ""Mutter""; Dat aus Herzfeld, gesichert? Siehe Einl. dort.",,
689,[G016,,,,,,,,,Inhalt fehlt; in Kurliste abw. als [G18 nach [G15 aufgeführt; Schreibversehen?.,,
690,"[G017,01",O,S,"Hahn, Rudolf","Hahn,  Edith u. Schwestern",1901-06-08,Berlin,,,"""Führungsbuch"" des Vaters Hahn für die drei Töchter; 8. 6. 1901 bis 1. 1. 1909",,
691,"[G017,02",Abs.ms,Be,"Rosenzweig, Franz","Oppenheim, Gertrud u.a.",1905-00-00,,,,Zitate aus Briefen an GO u.a. ab 1905 - durchgesehen: teilw. in NL u. GS mit ....,,
692,"[G017,03",Abs.ms,B,"Rosenzweig,  Franz","Oppenheim,  Gertrud",1918-03-01,,"I,1 Nr. 488",,"zur ""Schokoladengeschichte"", dem ""Hochklettern"" u. ""Auf Wiedersehen"";[B77/78",,
693,"[G017,04",hdf P,B,"Rosenzweig,  Franz","Oppenheim,  Agnes",1928-08-28,,,,"zu einem neuen Grammophon u dem  Klang bei Beethoven, Mozart, Bach, Schütz",,
694,"[G017,05",hdf P,B,"Rosenzweig, Franz","Oppenheim, Agnes",1928-08-31,,,,"Warum das Grammophon ""klirrt"".",,
695,"[G017,06",hdf P,B,"Rosenzweig, Franz","Oppenheim, Agnes",1928-09-18,,,,"zum Grammophon, zum Ital. Konzert von Bach, das Agnes in Ffm vorgespielt hat.",,
696,"[G017,07",O,B,"Oppenheim, Gertrud","Rosenzweig, Rafael",,Dat? Ort? Zweck: Veröff.,,,GO (Schrift) erklärt Rafael  die Sache mit der Schokolade und der Kletterstange,,
697,"[G018,01",O,BK,"Rosenzweig,  Adele","Frank, Gertrud",1905-09-29,Kassel,,,"Ort/Dat PostStp; Geb.gruß an GO,  geb. Frank von Adele und Onkel Georg",,
698,"[G018,02",O,B,"Hahn, Ilse/Rudolf/Edith","Rosenzweig, Franz",1912-09-22,Berlin,,,Gratulationen zum Dr.Examen.,,
699,"[G018,03",O,B,"Rosenzweig,  Edith","Hahn, Ilse",1920-10-07,Frankfurt,,,von viel Arbeit im Haus; Wohnungssuche; Start im Lehrhaus,,
700,"[G018,04",O,B,"Rosenzweig,  Edith","Strauß, Ilse",1933-08-13,Kassel,,,"zu Frge d. Auswderung n. Palästina. Ilse wird gehen. Edith will bleiben als ""Rest""",,
701,"[G018,05",O,B,"Rosenzweig,  Edith","Strauß, Ilse",1933-09-13,Frankfurt,,,"nochmals zu Auswanderung nach Palästina: ""Als Juden bleiben""",,
702,"[G019,01",O,B,"Rosenzweig,  Edith","Strauß, Eduard",1938-03-20,Frankfurt,,,PostStp 30.3.38 (gehört Couvert zu Bf?); zur Entwicklung des LH nach FRs Tod,,
703,"[G019,02",O,B,"Rosenzweig,  Edith","Strauß, Eduard",1938-09-02,Frankfurt,,,zum Schicksal der Freunde - zur Auswanderung - sie lehnt das noch ab.,,
704,"[G019,03",O,B,"Rosenzweig,  Edith","Strauß, Eduard",1938-12-21,Frankfurt,,,Rafael bereitet Ausreise n Pal vor. Edith: nicht mein Weg; aber ist der zuende?,,
705,"[G019,04",O ms,B,"Rosenzweig, Rafael u.Ed.","Strauß,  Eduard",1939-03-08,Frankfurt,,,Rafael zu geplanter Ausreise nach P.. Jetzt: 22.03.1939. Edith unterschreibt kurz,,
706,"[G019,05",O ms,B,"Rosenzweig,  Edith","Strauß, Eduard",1939-04-12,Frankfurt,,,"Rafael abgereist. Edith versucht es jetzt auch, bekommt kein Affidavit.",,
707,"[G019,06",ms P,B,"Simon, Ernst","Rosenzweig, Edith",1958-12-17,,,,an: Dr. Edith Scheinmann-Rosenzweig in Berlin; zu Plan f. Hrsg. Jehuda Halevi,,
708,"[G019,07",O ms,B,"Simon,  Ernst","Rosenzweig,  Rafael",1972-11-15,Jerusalem,,,Umschlag: hebr. Schrift; an Rafael zum 50. Geb.; von Treffen mit Edith in Berlin,,
709,"[G020,01",Abs. ms P,W,"Rosenzweig, Rafael",,1936-00-00,,,,Tischrede zu bar mizwa? Autor:Rafael ?: Nur Mutter bedankt; Dat dann 1935/36,,
710,"[G020,02",ms P,W,"Wyneken, Dr. G. von","Rosenzweig, Rafael",1946-03-07,,,,"Aufruf zur Neugründung der ""Freien Deutschen Jugend"", Rafael zur Kenntnis.",,
711,"[G020,03",O,B,"Rosenzweig, Franz u. Ed.","Markowicz, Ernst",1921-07-10,"Kassel, Terrasse 1",,,"zu Hilfe, die FR u.Edith dem Jüngeren geben konnten, durch Dasein u. Häuslichkeit",,
712,"[G021,01",O,B,Jüd. Gemeinde Berlin,"Hahn, Edith",1916-05-03,Berlin,,,"Mittlung, dass Antrag auf Vormerkung zur Aufnahme in Schuldienst eingegangen",,
713,"[G021,02",O,B,"Rosenzweig,  Edith u. Rf.","Rosenzweig, Adele",1926-03-12,,,,"Empf: ""Liebe Mama"". Blei- o. Kopierstift; zu Häuslichkeiten; Rafael diktiert Grüße",,
714,"[G021,03",O,B,"Rosenzweig, Edith",,1926-03-25,,,,Dat hdf i Nachtrag; vom Musikhören; Platte u Original; gehören die Bl. zusammen?,,
715,"[G021,04",O,B,"Rosenzweig, Rafael","Rosenzweig,  Adele",1927-10-30,Frankfurt,,,Diktat für Oma in Kassel; Schrift Edith; Unterschrift Rafael Blockbuchstaben.,,
716,"[G021,05",K,B,"Schneider, Lambert","Rosenzweig, Franz",1928-11-28,Berlin-Dahlem,,,der Verleger rechtfertig seine  Schwierigkeiten bzgl. Honorar,,
717,"[G021,06",O,B,"Rosenzweig, Adele","???, Toni (Michel?)",1930-06-10,,,,Ernst? und Toni? hatten Adele besucht. Bilder geschickt.Toni kann kein Sütterlin,,
718,"[G021,07",ms P,W,"Ehrenberg, Rudolf","Rosenzweig, Adele betr.",1933-03-04,,,,"Autor: Vermerk hdf., Gedicht auf den Tod Adele Rosenzweigs",,
719,"[G021,08",O,B,"Rosenzweig,  Rafael","Rosenzweig, Adele",o.J.,o.O.,,,"Rafael Diktat an ""Oma"", Schrift Agnes Oppenheim?",,
720,"[G021,09",O,B,"Rosenzweig,  Rafael","Rosenzweig, Adele",o.J.,o.O,,,"Rafael Dktat an ""Oma"", Schrift Edith",,
721,[G022,L,W,"Georgier, Boris","Einstein, A., Buber, M.",1919-03-06,Berlin,,,"Foto von einer Porträtzeichnung; Photograph Hermann Boll, Berlin",,
722,[G023,,,,,,,,,FELHLT!  Evtl. Zählfehler?,,
723,"[G024,01",K,B,"Rosenzweig,  Edith","Rosenstock-H., Eugen",1935-01-07,Frankfurt,,,"Nein zur Auswanderung; soviel Kultur erhalten, wie möglich.",,
724,"[G024,02",K,B,"Rosenzweig,  Edith","Rosenstock-H., Eugen",1938-03-10,Frankfurt,,,"Rezeption FR bei den Juden heute, aber ""wissen"" nur wenig; Rafael Nat.w.schaft",,
725,"[G024,03",K,B,"Rosenzweig,  Edith","Rosenstock-H., Eugen",1960-04-27,Firenze,,s. S. 141,"""Ich habe keinen Brief von Gritli. Franz hat alle vor seinem Tod vernichtet/lassen.""",,
726,"[G024,04",ms K,B,"Rosenzweig,  Edith","Rosenstock-H., Eugen",1963-05-26,Berlin,,,"zu einem BrfW.mit Lotti, Schw.v.Gritli;  zu einem Hr. Thieme, der FR bekannt m. will",,
727,"[G024,05",K,B,"Rosenzweig,  Edith","Rosenstock-H., Eugen",1964-12-25,Berlin,,,Rafaels Leben in Israel; Kinder; Scheidung; neue Ehe.,,
728,"[G025,01",O,B,Hahn  Edith,"Rosenstock-H., Margrit",1920-02-06,,,,"Dank für Bachkantate, Geschenk z Verlobung; Vgl. GB S. 576, Anm. 3",,
729,"[G025,02",O,B,"Rosenzweig,  Edith","Rosenstock-H., Margrit",1920-11-12,aus der Bahn,,S. 682,Vom Du zum Wir?; der Weg zum anderen,,
730,"[G025,03",O,B,"Rosenzweig,  Edith","Rosenstock-H., Margrit",1921-01-09,Frankfu rt,,S. 710,"Mitfreude, weil Gritli ""in Hoffnung"".",,
731,"[G025,04",O,B,"Rosenzweig,  Edith","Rosenstock-H., Margrit",1924-02-12,Frankfurt,,,Gritli läßt nichts hören? Erzählung vom Haushalt; Adeles Besuche; Hausmädchen,,
732,"[G025,05",O,B,"Rosenzweig,  Edith","Rosenstock-H., Margrit",1924-10-14,Frankfurt,,,"zum Häuslichen, von Hausmädchen; Franz'  Ernährung",,
733,"[G025,06",O,B,"Rosenzweig,  Edith","Rosenstock-H., Margrit",1924-11-26,Frankfurt,,,"""Das Nachhause Kommen war schön"": Gritli hatte ein paar Tage die Pflege übern.",,
735,"[G025,08",O,B,"Rosenzweig, Edith","Oppenheim, Gertrud",1925-01-28,Frankfurt,,,Geburtstage Kindersachen? Das anomale Leben wird das normale.,,
736,"[G025,09",O,B,"Rosenzweig, Edith","Rosenstock-H., Margrit",1925-02-06,Frankfurt,,,Kommen bitte nicht zus. mit GO; überheblich? Gritli ihr lieb; FR dazu GB S. 819.,,
737,"[G025,10",O,B,"Rosenzweig,  Edith","Rosenstock-H., Margrit",1925-02-19,Frankfurt,,,Gritlis Kommen zwecks  Hilfe als Problem.,,
738,"[G025,11",O,B,"Rosenzweig,  Edith","Oppenheim,  Gertrud",1925-07-15,Frankfurt,,,"FR war nicht einv.std, dass Edith GO von den Tagen mit Gritli erzählt hat. [C55",,
739,"[G025,12",O,B,"Rosenzweig,  Edith","Rosenstock-H., Margrit",1925-10-22,Frankfurt,,,von der wenigen eigenen Zeit,,
740,"[G025,13",O,B,"Rosenzweig,  Edith","Rosenstock-H., Margrit",1925-11-13,Frankfurt,,,"""Es geht alles langsam und schlecht.""",,
741,"[G025,14",O,B,"Rosenzweig,  Edith","Oppenheim,  Gertrud",1926-04-17,Frankfurt,,,zu Agnes (Tochter von GO) und Rafael,,
742,"[G025,15",O,B,"Rosenzweig,  Edith","Oppenheim,  Gertrud",1926-06-18,Frankfurt,,,Verstehenskonflikt zw. GO und Edith. Ed. fühlt sich unverstanden in ihrer Art,,
743,"[G025,16",O,B,"Rosenzweig,  Edith","Oppenheim,  Gertrud",1926-08-19,Frankfurt,,,"""Ihr denkt es euch doch immer noch einfacher, als es wirklich ist"".Agnes z. Hilfe?",,
744,"[G025,17",O,B,"Rosenzweig,  Edith","Oppenheim,  Gertrud",1925-09-17,Frankfurt,,,Dank f Geb. Geschenk an Rafael; zum Besuch Gritlis zwecks Hilfe bei Franz.,,
745,"[G025,18",Abs.ms  P,S,"Lippmann, Sohn ...",,1806-00-00,,,,"Lippmann, Sohn des Löb Cohen, ""Diese Tefiloh gehört mir""; Ereignisse 1806-1852",,
746,"[G025,19",K,S,,,,,,,"""Ich bleibe ja immer bei dir, .."" Psalm 73, 23; wessen Schrift? (FR noch jung?)",,
747,"[G026,01",O,B,"Rosenzweig, Franz","Hahn, Edith",1920-03-28,,,,"in der Nacht vor der Hochzeit; ""Du geheiligt mir""...""Aufs Leben dann ..""",,
748,"[G026,02",O,B,"Rosenzweig,  Edith","Oppenheim,  Gertrud",1922-03-22,Frankfurt,,,"Edith ist schwanger; Krankheit macht ihr mehr Sorge, als sie merken läßt.",,
749,"[G026,03",O,B,"Rosenzweig,  Edith","Oppenheim,  Gertrud",1922-05-29,Frankfurt,,,wie es zu Hause geht.,,
750,"[G026,04",O,B,"Rosenzweig,  Edith","Oppenheim,  Gertrud",1922-06-11,Frankfurt,,,Fortsetzung: 12. 06. 1922: E. hat Krankeit direkt angesprochen; Vgl. [C 35,,
751,"[G026,05",O,B,"Rosenzweig,  Edith","Oppenheim,  Gertrud",1922-08-13,Frankfurt,,,wie es Edith geht; zum Personal; Wohnungssuche,,
752,"[G026,6",O,B,"Rosenzweig, Edith","Oppenheim, Gertrud",1922-11-14,Frankfurt,,,"""Franz wollte meine Ahnungslosigkeit... Ich konnte aber die Lüge .. nicht ertragen""",,
753,"[G027,01",O,B,"Rosenzweig,  Edith","Oppenheim,  Gertrud",1922-06-23,Königstein,,,Ferien - einfach aber lustig; Freude aufs Kind; neue Offenheit nach Aussprache,,
754,"[G027,02",O,B,"Rosenzweig,  Edith","Oppenheim,  Gertrud",1923-02-21,,,,"""Ich lasse Mama [Adele] nicht mehr kommen""; Probleme mit Kindermädchen-",,
755,"[G027,03",O,B,"Rosenzweig,  Edith","Oppenheim,  Gertrud",1923-08-28,,,,Forts 2. Sept.; zu Reiseplänen mit GO? - Heidelberg [Hans E.]?  Würzburg,,
756,"[G027,04",O,B,"Rosenzweig,  Edith","Oppenheim,  Gertrud",1923-10-04,Frankfurt,,,hatten so gute  Nähe zusammen; jetzt wieder viel zu tun; soll aber nicht abreißen,,
757,"[G027,05",O,B,"Rosenzweig,  Edith","Oppenheim,  Gertrud",1923-10-08,Frankfurt,,,"neue Haushilfe; Gritli kommt nicht, wie geplant, für längere Zeit; Enttäuschung",,
758,"[G027,06",O,B,"Rosenzweig, Edith","Oppenheim, Gertrud",1923-11-13,Frankfurt,,,Jahr hdf; finanzielle Schwierigkeiten wg der Inflation: keinen Tag Kredit mehr,,
759,"[G027,07",O,B,"Rosenzweig,  Edith","Oppenheim,  Gertrud",1923-11-21,Frankfurt,,,"zur heiklen fin. Lage;Schwrigkt mit Haushilfe; Belastung, aber alleinsein auch gut",,
760,"[G027,08",O,B,"Rosenzweig,  Edith","Oppenheim,  Gertrud",1924-04-29,Frankfurt,,,zu e Konflikt mit FR durch GO (Vertrauensbruch); aber Aussprachen und Lösung,,
761,"[G027,09",O,B,"Rosenzweig, Edith","Oppenheim, Gertrud",1926-06-01,Frankfurt,,,Fortsstzg 15. Juni [1926];Marianne O.(6J.) ist zu Besuch; und zu Agnes O..,,
762,"[G028,01",O,DK,Landesrabbinat Kassel,"Rosenzweig, Georg betr.",1867-02-28,Kassel,,,"Auszg aus Geb.Reg. betr. Georg Rosenzweig, geb. 02. 07. 1857",,
763,"[G028,02",O,DK,Standesamt Kassel,"Rosenzweig, Louis betr.",1875-08-27,Kassel,,,"Auszg aus StandesReg. Betr. Louis Rosenzweig, gest.16. 08. 1875",,
